09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:13:24.421 RX 3.0 MSG 271 12345678901234567890123456789012345678901

09:13:25.796 RX 3.0 MSG 272 12345678901234567890123456789012345678901

09:13:28.921 RX 3.0 MSG 274 12345678901234567890123456789012345678901

09:13:31.421 RX 3.0 MSG 275 12345678901234567890123456789012345678901

09:13:33.671 RX 3.0 MSG 277 12345678901234567890123456789012345678901

09:13:36.421 RX 3.0 MSG 278 12345678901234567890123456789012345678901

09:13:41.171 RX 3.0 MSG 280 12345678901234567890123456789012345678901

09:13:43.546 RX 3.0 MSG 281 12345678901234567890123456789012345678901

09:13:45.546 RX 3.0 MSG 282 12345678901234567890123456789012345678901

09:13:48.297 RX 3.0 MSG 284 12345678901234567890123456789012345678901

09:13:49.421 RX 3.0 MSG 285 12345678901234567890123456789012345678901

09:13:50.796 RX 3.0 MSG 286 12345678901234567890123456789012345678901

09:13:53.421 RX 3.0 MSG 287 12345678901234567890123456789012345678901

09:14:01.296 RX 3.0 MSG 290 12345678901234567890123456789012345678901

09:14:02.546 RX 3.0 MSG 291 12345678901234567890123456789012345678901

09:14:04.921 RX 3.0 MSG 292 12345678901234567890123456789012345678901

09:14:09.671 RX 3.0 MSG 294 12345678901234567890123456789012345678901

09:14:22.546 RX 3.0 MSG 299 12345678901234567890123456789012345678901

09:14:23.546 RX 3.0 MSG 300 12345678901234567890123456789012345678901

09:14:26.421 RX 3.0 MSG 301 12345678901234567890123456789012345678901

09:14:27.421 RX 3.0 MSG 302 12345678901234567890123456789012345678901

09:14:29.671 RX 3.0 MSG 303 12345678901234567890123456789012345678901
